grad-year,hometown,latitude,longitude,college
1933,"Greenwich, CT",41.02525,-73.629619,Richmond
1933,"Greenwich, CT",41.02525,-73.629619,Richmond
1933,"Guntersville, AL",34.35113,-86.299159,Richmond
1933,"Haddonfield, NJ",39.89879,-75.030484,Richmond
1933,"Hagerstown, MD",39.6425,-77.717579,Westhampton
1933,"Hagerstown, MD",39.6425,-77.717579,Richmond
1933,"Halifax, VA",36.765681,-78.928729,Westhampton
1933,"Hanover, MA",42.1165,-70.844169,Richmond
1933,"Hanover, MA",42.1165,-70.844169,Westhampton
1933,"Hanover, NH",43.700465,-72.289499,Westhampton
1933,"Hanover, VA",37.768842,-77.371096,Richmond
1933,"Harrisonburg, VA",38.451534,-78.869047,Richmond
1933,"Harrisonburg, VA",38.451534,-78.869047,Richmond
1933,"Hartfield, VA",37.547537,-76.440816,Richmond
1933,"Havertown, PA",39.980765,-75.307759,Westhampton
1933,"Hendersonville, TN",36.304861,-86.620214,Westhampton
1933,"Hendersonville, TN",36.304861,-86.620214,Richmond
1933,"Herndon, VA",38.969698,-77.385475,Westhampton
1933,"Highland Springs, VA",37.545665,-77.327299,Westhampton
1933,"Hillsborough, NC",36.076215,-79.099444,Westhampton
1933,"Hilton Head, SC",32.154819,-80.762238,Richmond
1933,"Hines, OR",43.561298,-119.083232,Westhampton
1933,"Hinsdale, IL",41.80368,-87.927484,Westhampton
1933,"Holland, PA",40.17189,-74.991211,Westhampton
1933,"Hollywood, MD",38.34578,-76.572514,Richmond
1933,"Houston, TX",29.76045,-95.369784,Richmond
1933,"Hudson, OH",41.242825,-81.440394,Richmond
1933,"Huntingdon Valley, PA",40.126841,-75.062386,Westhampton
1933,"Huntington Station, NY",40.83638,-73.394943,Westhampton
1933,"Huron, OH",41.39091,-82.558389,Richmond
1933,"Indian Mills, NJ",39.797569,-74.745399,Westhampton
1933,"Indiana, PA",40.622905,-79.150149,Westhampton
1933,"Jacksonville, FL",30.33147,-81.656219,Westhampton
1933,"Jamestown, RI",41.493675,-71.376499,Richmond
1933,"Jamesville, NY",42.991418,-76.069682,Westhampton
1933,"Jarratt, VA",36.818636,-77.47496,Westhampton
1933,"Jefferson Township, NJ",41.01932,-74.548418,Westhampton
1933,"Johnstown, PA",40.32726,-78.918354,Westhampton
1933,"Kennett Square, PA",39.847825,-75.710879,Westhampton
1933,"Kilmarnock, VA",37.710254,-76.380068,Richmond
1933,"King William, VA",37.687103,-77.015802,Westhampton
1933,"Kingsport, TN",36.5478,-82.560419,Westhampton
1933,"Kingston, NY",41.926718,-73.996506,Richmond
1933,"Knoxville, TN",35.960495,-83.920914,Westhampton
1933,"La Canada, CA",34.206108,-118.216667,Richmond
1933,"La Plata, MD",38.526268,-76.977601,Westhampton
1933,"Lafayette Hill, PA",40.090787,-75.258653,Westhampton
1933,"Lake Village, AR",33.330645,-91.281764,Westhampton
1933,"Lakewood, CO",39.71092,-105.082731,Richmond
1933,"Lakewood, NY",42.103385,-79.328409,Westhampton
1933,"Lancaster, PA",40.038045,-76.301269,Westhampton
